순번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,lat,lon
207,연세감동치과의원,치과의원,"세종특별자치시 한누리대로 2022, 404호,405호 (소담동, 아크레타 아이콤스타타워)",044-868-7522,36.544,127.258
208,남부통합보건지소,보건지소,"세종특별자치시 새롬로 14, 3층 (새롬동)",044-301-2400,36.519,127.258
209,초목한의원,한의원,"세종특별자치시 새롬중앙로 55, 201호 (새롬동, 행운빌딩)",044-868-7520,36.519,127.258
210,소담튼튼소아청소년과의원,의원,"세종특별자치시 한누리대로 2016, 404호,405호 (소담동, 타임빌딩)",044-868-8276,36.544,127.258
211,새롬정형외과의원,의원,"세종특별자치시 새롬중앙로 34, 415호,416호,417호 (새롬동, 크리스마스빌딩)",044-998-3369,36.519,127.258
212,드림내과의원,의원,"세종특별자치시 새롬중앙로 55, 401호,402호403호 (새롬동, 행운빌딩)",044-715-7582,36.519,127.258
213,드림이비인후과의원,의원,"세종특별자치시 남세종로 458, 아리랑빌딩 201,202호 (보람동)",044-865-1275,36.553,127.268
214,세종드림연합의원,의원,"세종특별자치시 한누리대로 2264, 3층 (대평동, 씨티오브드림)",1577-4713,36.472,127.275
215,제일연합내과의원,의원,"세종특별자치시 새롬중앙로 62-15, 401호,402(일부)호 (새롬동, 해피라움W)",044-715-5501,36.519,127.258
216,힘내라신경외과의원,의원,"세종특별자치시 새롬중앙로 67, 503호,504호,505호,506호 (새롬동, 오렌지빌딩)",044-417-6881,36.519,127.258
217,새온치과의원,치과의원,"세종특별자치시 새롬중앙로 67, 304호 (새롬동, 오렌지빌딩)",044-867-2842,36.519,127.258
218,금동치과의원,치과의원,"세종특별자치시 새롬중앙로 62-15, 505호 (새롬동, 해피라움W)",044-866-9037,36.519,127.258
219,세종탑치과의원,치과의원,"세종특별자치시 새롬중앙로 59, 303호 (새롬동, 새롬빌딩)",044-715-7528,36.519,127.258
220,새롬한의원,한의원,"세종특별자치시 새롬중앙로 51, 303호 (새롬동, 에스월드빌딩)",044-863-8375,36.519,127.258
221,청심당한의원,한의원,"세종특별자치시 남세종로 454, 403호 (보람동, 강남제일타워)",044-866-1875,36.553,127.268
222,이안정신건강의학과의원,의원,"세종특별자치시 한누리대로 273, 새롬씨티 307,402,706,707호 (나성동)",044-999-1102,36.507,127.258
223,제이와이치과의원,치과의원,"세종특별자치시 새롬중앙로 64, 404호 (새롬동, 세종영광프라자)",044-867-5600,36.519,127.258
224,우리연합의원,의원,"세종특별자치시 남세종로 454, 404호 (보람동, 강남제일타워)",044-867-7803,36.553,127.268
225,다정한의원,한의원,"세종특별자치시 새롬중앙로 59, 302호 (새롬동, 새롬빌딩)",044-868-1090,36.519,127.258
226,새롬숲치과의원,치과의원,"세종특별자치시 새롬중앙로 34, 311호 (새롬동, 크리스마스빌딩)",044-999-2577,36.519,127.258
227,세종스타치과의원,치과의원,"세종특별자치시 나성로 125-16, 7~8층 (나성동, 스타타워)",044-905-2222,36.507,127.258
228,사상참경희한의원,한의원,"세종특별자치시 새롬중앙로 34, 408호 (새롬동, 크리스마스빌딩)",044-999-1075,36.519,127.258
229,바른우리치과교정과치과의원,치과의원,"세종특별자치시 새롬중앙로 64, 301~302호 (새롬동, 세종영광프라자)",044-998-2080,36.519,127.258
230,소담내과의원,의원,"세종특별자치시 한누리대로 2016, 302~309호 (소담동, 타임빌딩)",044-863-4100,36.544,127.258
231,오라클피부과의원,의원,"세종특별자치시 한누리대로 245, 404~405호 (나성동, 에스알파크원)",044-868-0075,36.507,127.258
232,유심한의원,한의원,"세종특별자치시 부강면 부강로 42, 105.106.107호",044-868-0375,36.53,127.355
233,이유경내과의원,의원,"세종특별자치시 한누리대로 2265, 세종메디컬센터 304~306호, 505호 (대평동)",044-868-0261,36.472,127.275
234,세종가톨릭정형외과의원,의원,"세종특별자치시 도움1로 106, 401~402호,405~408호,416호 (종촌동, 메가시티)",044-867-7171,36.503,127.255
235,상쾌한이비인후과의원,의원,"세종특별자치시 새롬중앙로 59, 403호 (새롬동, 새롬빌딩)",044-862-7584,36.519,127.258
236,평화당한의원,한의원,"세종특별자치시 새롬중앙로 47, 304호 (새롬동, 세움빌딩)",044-864-7600,36.519,127.258
237,심치과의원,치과의원,"세종특별자치시 새롬중앙로 47, 405호 (새롬동, 세움빌딩)",044-862-2871,36.519,127.258
238,더블유성형외과의원,의원,"세종특별자치시 한누리대로 245, 401호 (나성동, 에스알파크원)",044-863-6673,36.507,127.258
239,소리숨이비인후과의원,의원,"세종특별자치시 나성로 96, 더센트럴 421호 (나성동)",044-868-1177,36.507,127.258
240,봄뜰부부한의원,한의원,"세종특별자치시 남세종로 466, 303호 (보람동, 아평빌딩)",044-862-6193,36.553,127.268
241,서울소담치과의원,치과의원,"세종특별자치시 한누리대로 2018, 304~305호 (소담동, 사이언스타운)",044-865-2811,36.544,127.258
242,세종소담한의원,한의원,"세종특별자치시 한누리대로 2018, 407~408호 (소담동, 사이언스타운)",044-862-3500,36.544,127.258
243,두미소신경과의원,의원,"세종특별자치시 한누리대로 249, 에스제이타워 408~410,507호 (나성동)",044-867-6119,36.507,127.258
244,세종국민건강의원,의원,"세종특별자치시 가온로 8, 혜원빌딩 2~3층 (다정동)",1522-3466,36.527,127.265
245,코알이비인후과의원,의원,"세종특별자치시 한누리대로 2018, 사이언스타운 4층 403~406호 (소담동)",044-865-3650,36.544,127.258
246,연세고마운치과의원,치과의원,"세종특별자치시 한누리대로 249, 406~407호 (나성동, 에스제이타워)",044-866-2872,36.507,127.258
247,열린이비인후과의원,의원,"세종특별자치시 다정중앙로 45, 다정프라자 304호~305호 (다정동)",044-867-7550,36.527,127.265
248,세종보람치과의원,치과의원,"세종특별자치시 남세종로 466, 403호 (보람동, 아평빌딩)",044-863-7522,36.553,127.268
249,웰에스테의원,의원,"세종특별자치시 도움1로 106, 메가시티 409호 (종촌동)",044-863-8271,36.503,127.255
250,세종성모소아청소년과의원,의원,"세종특별자치시 한누리대로 2129, 스타힐타워Ⅱ 401~405,409,412~415호 (보람동)",044-865-4003,36.553,127.268
251,강남 더 뷰티 성형외과의원,의원,"세종특별자치시 한누리대로 169, 스타벅스 행복타워 303호,305호,308호 (나성동)",044-864-8008,36.507,127.258
252,참좋아치과의원,치과의원,"세종특별자치시 보듬3로 143, 304,305,306호 (아름동, 대영프라자)",044-864-8575,36.488,127.28
253,일희재한의원,한의원,"세종특별자치시 한누리대로 249, 307호 (나성동, 에스제이타워)",044-867-6262,36.507,127.258
254,현대정형외과의원,의원,"세종특별자치시 조치원읍 새내로 63, 2층",044-862-5161,36.602,127.297
255,나은정형외과의원,의원,"세종특별자치시 보듬3로 143, 502,503호 (아름동, 대영프라자)",044-863-7579,36.488,127.28
256,금강한의원,한의원,"세종특별자치시 조치원읍 조치원로 22, 4층",044-862-5310,36.602,127.297
257,서울아산신경외과의원,의원,"세종특별자치시 나성북로 9, 701,702호 (나성동, 메가타워1)",044-868-5288,36.507,127.258
258,장효길한의원,한의원,"세종특별자치시 한누리대로 2143, 407호 (보람동, 금강시티타워)",044-867-8758,36.553,127.268
259,더플랜트치과의원,치과의원,"세종특별자치시 아름서1길 13-12, 403,404호 (아름동, 제이디빌딩)",044-998-2875,36.488,127.28
260,경희고운한의원,한의원,"세종특별자치시 마음로 264, 301층 (고운동, 고운프라자)",044-864-9575,36.51,127.248
261,세종프라임치과의원,치과의원,"세종특별자치시 한누리대로 499, 402호 (어진동, 세종미디어프라자)",044-868-3522,36.498,127.268
262,수치과의원,치과의원,"세종특별자치시 절재로 194, 508호 (어진동, 중앙타운)",044-864-5369,36.498,127.268
263,이사랑치과의원,치과의원,"세종특별자치시 한누리대로 2257, 판타지타워 203호 (대평동)",044-868-0037,36.472,127.275
264,한사랑의원,의원,"세종특별자치시 도움1로 106, 메가시티 501,505,506,507호 (종촌동)",044-867-3569,36.503,127.255
265,현가한의원,한의원,"세종특별자치시 조치원읍 새내10길 12, 2층",044-865-1075,36.602,127.297
266,고운마음한의원,한의원,"세종특별자치시 고운서길 19, 304호 (고운동, 스마트큐브1)",044-863-7517,36.51,127.248
267,세종미소치과의원,치과의원,"세종특별자치시  한누리대로 2135, 302,303,301호 (보람동, 스타힐타워1) (보람동)",044-864-4936,36.553,127.268
268,서울삼성안과의원,의원,"세종특별자치시 도움1로 106, 메가시티 403,404,414호 (종촌동)",044-862-0014,36.503,127.255
269,세종항도외과의원,의원,"세종특별자치시 한누리대로 253, 503호 (나성동, 에스빌딩)",044-867-4475,36.507,127.258
270,삼성온가족치과의원,치과의원,"세종특별자치시 도움1로 106, 510호 (종촌동, 메가시티)",044-865-2843,36.503,127.255
271,라온소아청소년과의원,의원,"세종특별자치시 새롬중앙로 62-15, 해피라움W 303,304호 (새롬동)",044-866-1350,36.519,127.258
272,산돌한의원,한의원,"세종특별자치시 도움1로 106, 메가시티 502,508,509,514호 (종촌동)",044-865-7585,36.503,127.255
273,유소아청소년과의원,의원,"세종특별자치시 도움1로 108, 408.409호 (종촌동, 몰리브)",044-866-8025,36.503,127.255
274,세종시원마취통증의학과의원,의원,"세종특별자치시 보듬3로 100, 해피라움1 201~203호 (아름동)",044-867-7585,36.488,127.28
275,세종우리성모안과의원,의원,"세종특별자치시 한누리대로 273, 601~604호 (나성동)",044-864-3370,36.507,127.258
276,매일연합의원,의원,"세종특별자치시 절재로 154, 1층 (어진동, 홈플러스 세종점)",044-864-7975,36.498,127.268
277,올마취통증의학과의원,의원,"세종특별자치시 도움3로 105-7, 403.404.405호 (종촌동, 메디케어)",044-863-0648,36.503,127.255
278,브이유의원,의원,"세종특별자치시 나성북로 21, 센트럴타워 506호 (나성동)",044-866-6222,36.507,127.258
279,도담민들레치과의원,치과의원,"세종특별자치시 보듬3로 8-27, 403-1호 (도담동, 새한빌딩)",044-865-0102,36.498,127.27
280,세종함소아한의원,한의원,"세종특별자치시 보듬3로 143, 405,406호 (아름동, 대영프라자)",044-868-8333,36.488,127.28
281,연세럭스치과의원,치과의원,"세종특별자치시 보듬3로 100, 해피라움1 204,205호 (아름동)",044-864-2804,36.488,127.28
282,세종금남치과의원,치과의원,"세종특별자치시 금남면 용포로 80, 2층",044-863-5275,36.538,127.336
283,에이스한의원,한의원,"세종특별자치시 보듬3로 100, 405-2호 (아름동, 해피라움1)",044-867-1076,36.488,127.28
284,365 열린연합의원,의원,"세종특별자치시 마음로 74, 302.303호 (고운동, 그랜드프라자)",044-864-7757,36.51,127.248
285,박소영한의원,한의원,"세종특별자치시 도움1로 108, 413호 (종촌동, 몰리브)",044-865-7075,36.503,127.255
286,세종제이피부과의원,의원,"세종특별자치시 보듬3로 92, 해피라움2 403,404,405호 (아름동)",044-865-1675,36.488,127.28
287,숨편한한의원,한의원,"세종특별자치시 도움1로 108, 402-2.420호 (종촌동, 몰리브)",044-866-0175,36.503,127.255
288,화이트부부치과의원,치과의원,"세종특별자치시 도움1로 108, 410.411호 (종촌동, 몰리브)",044-865-2835,36.503,127.255
289,최훈내과의원,의원,"세종특별자치시 보듬3로 91, 303.304호 (아름동, 해피라움4)",044-865-5575,36.488,127.28
290,연세크리스마스치과의원,치과의원,"세종특별자치시 마음로 70, 302.303호 (고운동, 에셀프라자)",044-865-2075,36.51,127.248
291,스마일치과의원,치과의원,"세종특별자치시 마음로 74, 그랜드프라자 202,203호 (고운동)",044-863-8575,36.51,127.248
292,광제중국한의원,한의원,"세종특별자치시 조치원읍 조치원로 42, 2층",044-865-8338,36.602,127.297
293,이병진치과의원,치과의원,"세종특별자치시 조치원읍 조치원로 7, 3층",044-862-2812,36.602,127.297
294,자연치유한의원,한의원,"세종특별자치시 금남면 청룡안길 114-112, 1.2동 2.3층",044-864-0080,36.538,127.336
295,위대한내과의원,의원,"세종특별자치시 절재로 194, 505호,506호 (어진동, 중앙타운)",044-865-3375,36.498,127.268
296,세종연합비뇨기과의원,의원,"세종특별자치시 한누리대로 273, 새롬씨티 403,404,407,408호 (나성동)",044-867-2800,36.507,127.258
297,스마트정신건강의학과의원,의원,"세종특별자치시 절재로 194, 504호 (어진동, 세종드림)",044-862-7392,36.498,127.268
298,아이닉안과의원,의원,"세종특별자치시 절재로 194, 403,404호 (어진동, 세종드림)",044-868-1288,36.498,127.268
299,고운맘소아청소년과의원,의원,"세종특별자치시 마음로 70, 304호 (고운동, 에셀프라자)",044-862-5252,36.51,127.248
300,두리이비인후과의원,의원,"세종특별자치시 절재로 194, 중앙타운 801,802호 (어진동)",044-865-7577,36.498,127.268
301,삼성마음그린정신건강의학과의원,의원,"세종특별자치시 한누리대로 253, 에스빌딩 301호 (나성동)",044-867-1000,36.507,127.258
302,제일마취통증의학과의원,의원,"세종특별자치시 절재로 194, 604호 (어진동, 세종드림)",044-862-0008,36.498,127.268
303,빛을보는치과의원,치과의원,"세종특별자치시 절재로 194, 중앙타운 401,402,405호 (어진동)",044-867-1575,36.498,127.268
304,행복경희한의원,한의원,"세종특별자치시 고운서길 10, 303호 (고운동, 대현빌딩)",044-867-7599,36.51,127.248
305,성원치과의원,치과의원,"세종특별자치시 절재로 194, 408.409호 (어진동, 세종드림)",044-868-6091,36.498,127.268
306,세종다사랑가정의학과의원,의원,"세종특별자치시 도움3로 105-7, 401호 (종촌동, 메디케어)",044-863-7523,36.503,127.255
307,세종시365으랏차한의원,한의원,"세종특별자치시 절재로 194, 중앙타운 413호, 414호 (어진동)",044-864-5671,36.498,127.268
308,패밀리치과의원,치과의원,"세종특별자치시 달빛로 47, 301호 (종촌동, 종촌파크프라자)",044-866-2804,36.503,127.255
309,맑은내과외과의원,의원,"세종특별자치시 달빛로 45, The Riverside 401~404, 503호 (종촌동)",044-863-6777,36.503,127.255
310,첫마을치과의원,치과의원,"세종특별자치시 한누리대로 165, 세종메디피아 302,303호 (나성동)",044-867-2275,36.507,127.258
311,세종 정형외과의원,의원,"세종특별자치시 한누리대로 583, 도담센트럴프라자 501,502,506호 (도담동)",044-867-2191,36.498,127.27
312,세종 쉼 정신건강의학과의원,의원,"세종특별자치시 한누리대로 583, 503호 (도담동, 도담센트럴프라자)",044-864-1181,36.498,127.27
313,세종내과의원,의원,"세종특별자치시 보듬3로 6, 204.205호 (도담동, 라온프라이빗시티2상가)",044-868-1070,36.498,127.27
314,건강한 가족의원,의원,"세종특별자치시 보듬3로 8-12, 101-2.102호 (도담동, 라온프라이빗시티1상가)",044-858-7555,36.498,127.27
315,세종퍼스트피부과의원,의원,"세종특별자치시 달빛로 59, 호만빌딩 601~603호 (종촌동)",044-864-9969,36.503,127.255
316,세종미즈산부인과의원,의원,"세종특별자치시 도움3로 105-5, 504호 (종촌동, 종촌중앙프라자)",044-868-3582,36.503,127.255
317,유 앤이 내과의원,의원,"세종특별자치시 도움3로 105-5, 501.502.503.507호 (종촌동, 종촌중앙프라자)",044-862-7511,36.503,127.255
318,신 치과의원,치과의원,"세종특별자치시 장군면 장척로 407, 2층",044-864-2827,36.53,127.235
319,율제한의원,한의원,"세종특별자치시 도움3로 105-7, 302호 (종촌동, 메디케어빌딩)",044-417-1585,36.503,127.255
320,세종연세에스의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 403~405호 (나성동)",044-864-8610,36.507,127.258
321,웰키즈소아청소년과의원,의원,"세종특별자치시 보듬3로 95, 해피라움3 307,308,309-1,310-2,401~5,410,603~8,705~6호(아름동) (아름동)",044-868-4880,36.488,127.28
322,서울바른이치과의원,치과의원,"세종특별자치시 다정중앙로 39, 다정센터프라자2 504호 (다정동)",044-863-2282,36.527,127.265
323,도담도담 소아청소년과의원,의원,"세종특별자치시 보듬3로 6, 212호 (도담동, 라온프라이빗시티2상가)",044-867-3211,36.498,127.27
324,세종어린이치과의원,치과의원,"세종특별자치시 보듬3로 91, 305호 (아름동, 해피라움4상가)",044-865-7502,36.488,127.28
325,모드니 치과의원,치과의원,"세종특별자치시 금송로 687, 3층 (가람동, 이마트세종점)",044-864-2876,36.4804,127.28957
326,우리치과의원,치과의원,"세종특별자치시 도움3로 105-5, 402.403호 (종촌동, 종촌중앙프라자)",044-865-0231,36.503,127.255
327,바른명치과의원,치과의원,"세종특별자치시 한누리대로 583, 도담센트럴프라자 302,303,304,504,505호 (도담동)",044-864-2824,36.498,127.27
328,좋은하루 치과의원,치과의원,"세종특별자치시 보듬4로 9, 3층 8,9호 (도담동, 도램마을11단지)",044-998-7599,36.498,127.27
329,좋은하루이비인후과의원,의원,"세종특별자치시 보듬4로 9, 3층 6,7호 (도담동, 도램마을11단지)",044-998-7582,36.498,127.27
330,맘애든치과의원,치과의원,"세종특별자치시 도움3로 105-8, 501.502호 (종촌동, 신목빌딩)",044-862-2874,36.503,127.255
331,경희한의원,한의원,"세종특별자치시 한누리대로 583, 도담센트럴프라자 403호 (도담동)",044-862-1025,36.498,127.27
332,씨엘비뇨기과의원,의원,"세종특별자치시 도움3로 105-5, 603.604호 (종촌동, 종촌중앙프라자)",044-865-0052,36.503,127.255
333,계림한의원,한의원,"세종특별자치시 다정중앙로 58, 다정메디프라자 403호 (다정동)",044-868-2355,36.527,127.265
334,바른한의원,한의원,"세종특별자치시 달빛로 59, 호만빌딩 203호,301호,302호 (종촌동)",044-868-0380,36.503,127.255
335,두치과의원,치과의원,"세종특별자치시 달빛로 59, 402.403.404호 (종촌동, 호만빌딩)",044-868-2877,36.503,127.255
336,정토한의원,한의원,"세종특별자치시 보듬3로 92, 303호 (아름동, 해피라움2상가)",044-863-7588,36.488,127.28
337,세종서울치과의원,치과의원,"세종특별자치시 도움3로 105-7, 501호 (종촌동, 메디케어빌딩)",044-863-7528,36.503,127.255
338,우리이비인후과의원,의원,"세종특별자치시 보듬3로 92, 409호 (아름동, 해피라움2상가)",044-865-8575,36.488,127.28
339,세움소아청소년과의원,의원,"세종특별자치시 보듬3로 92, 310호 (아름동, 해피라움2상가)",044-862-6075,36.488,127.28
340,세움치과의원,치과의원,"세종특별자치시 보듬3로 92, 310호 (아름동, 해피라움2상가)",044-862-2755,36.488,127.28
341,세종속편한내과의원,의원,"세종특별자치시 보듬3로 95, 해피라움3 3층 301,302,304-2,305호 (아름동)",044-862-1401,36.488,127.28
342,세종아이소아청소년과의원,의원,"세종특별자치시 달빛로 59, 303.304호 (종촌동, 호만빌딩)",044-864-0800,36.503,127.255
343,강남치과의원,치과의원,"세종특별자치시 금남면 용포로 63, 2층",044-867-7528,36.538,127.336
344,세종베스트치과의원,치과의원,"세종특별자치시 보듬3로 92, 407.408호 (아름동, 해피라움2상가)",044-865-7528,36.488,127.28
345,아름치과의원,치과의원,"세종특별자치시 보듬3로 92, 206.207호 (아름동, 해피라움2상가)",044-863-2833,36.488,127.28
346,크로바내과의원,의원,"세종특별자치시 한누리대로 253, 606~607호 (나성동, 에스빌딩)",044-863-7975,36.507,127.258
347,킹세종 이비인후과의원,의원,"세종특별자치시 한누리대로 492, 청암빌딩 303,304호 (어진동)",044-868-1443,36.498,127.268
348,세종반석정형외과의원,의원,"세종특별자치시 한누리대로 157, 601-609호 (나성동, 금강프라자)",044-863-7551,36.507,127.258
349,아름 한의원,한의원,"세종특별자치시 보듬3로 104-19, 303호 (아름동, 세석빌딩)",044-868-9600,36.488,127.28
350,박승룡한의원,한의원,"세종특별자치시 달빛로 47, 202호 (종촌동, 종촌파크프라자)",044-867-2075,36.503,127.255
351,지에프정형외과의원,의원,"세종특별자치시 달빛로 43, 3층 (종촌동, 금강빌딩)",044-868-7506,36.503,127.255
352,서울굿모닝치과의원,치과의원,"세종특별자치시 도움3로 105-5, 505.506호 (종촌동, 종촌중앙프라자)",044-865-2833,36.503,127.255
353,이삭소아청소년과의원,의원,"세종특별자치시 한누리대로 169, 세종행복타워 301,307,401호 (나성동)",044-865-8275,36.507,127.258
354,곰돌이 소아청소년과의원,의원,"세종특별자치시 달빛로 47, 302호 (종촌동, 종촌파크프라자)",044-866-0275,36.503,127.255
355,서울좋은치과의원,치과의원,"세종특별자치시 한누리대로 193, 301호 (나성동, 참미르빌딩)",044-862-7528,36.507,127.258
356,세종상신한의원,한의원,"세종특별자치시 한누리대로 193, 303호 (나성동, 참미르메디칼)",044-867-8275,36.507,127.258
357,한사랑메디칼의원,의원,"세종특별자치시 누리로 106, 302호 (한솔동, 송원프라자)",044-866-7580,36.48,127.262
358,세종프라우메디산부인과의원,의원,"세종특별자치시 한누리대로 165 (나성동, 세종메디피아6,7층)",044-716-1000,36.507,127.258
359,누리마루치과의원,치과의원,"세종특별자치시 도움8로 81, A동 301호 (어진동)",044-865-2275,36.498,127.268
360,새봄빛한의원,한의원,"세종특별자치시 부강면 부강로 53, 2층 201호 (세종클리닉)",044-868-1075,36.53,127.355
361,세종대일당한의원,한의원,"세종특별자치시 한누리대로 157 (나성동, 금강프라자 503호)",044-866-0002,36.507,127.258
362,세종플란트 치과의원,치과의원,"세종특별자치시 한누리대로 157 (나성동, 금강프라자,304호)",044-868-2875,36.507,127.258
363,유한의원,한의원,"세종특별자치시 조치원읍 군청로 88, 1층",044-868-9677,36.602,127.297
364,세종경희한의원,한의원,"세종특별자치시 한누리대로 165, 세종메디피아 310호 (나성동)",044-864-1075,36.507,127.258
365,임재욱한의원,한의원,세종특별자치시 조치원읍 충현로 47,044-862-3333,36.602,127.297
366,햇님한의원,한의원,"세종특별자치시 소담1로 16, 지엘플렉스2 302호 (소담동)",044-866-6777,36.544,127.258
367,세종치과의원,치과의원,"세종특별자치시 전의면 만세길 5, 2층",044-862-7035,36.614,127.325
368,여러분소통내과의원,의원,"세종특별자치시 조치원읍 새내로 88-1, 3층",044-864-7588,36.602,127.297
369,한솔퍼스트치과의원,치과의원,"세종특별자치시 새롬중앙로 62-15, 201호 (새롬동, 해피라움W)",044)866-2275,36.519,127.258
370,세종소아청소년과의원,의원,"세종특별자치시 한누리대로 157, 405호 (나성동, 금강프라자)",044-866-1275,36.507,127.258
371,최진웅치과의원,치과의원,"세종특별자치시 조치원읍 새내로 122, 메가박스(외 1필지 세종시네마 1동) 204호",044-866-2835,36.602,127.297
372,마음그린한의원,한의원,세종특별자치시 조치원읍 새내6길 3,044-866-7510,36.602,127.297
373,세종한의원,한의원,"세종특별자치시 금남면 용포로 64, 1.2층",044-866-2011,36.538,127.336
374,부강한의원,한의원,세종특별자치시 부강면 부강1길 5,044-275-8155,36.53,127.355
375,장동석내과의원,의원,"세종특별자치시 조치원읍 새내로 122, 메가박스 3층 306,307,308,309,310,311,312호",044-868-8841,36.602,127.297
376,둥구나무한의원,한의원,"세종특별자치시 금남면 용포로 80, 3층",044-866-7555,36.538,127.336
377,부강부부치과의원,치과의원,"세종특별자치시 부강면 부촌길 39, 1층",044-275-2855,36.53,127.355
378,행복한의원,한의원,세종특별자치시 장군면 장척로 405-2,044-856-0075,36.53,127.235
379,서울연합외과의원,의원,"세종특별자치시 조치원읍 조치원로 22, 3층",044-865-3838,36.602,127.297
380,원한의원,한의원,세종특별자치시 전의면 장터길 2-1,044-866-1122,36.614,127.325
381,부부치과의원,치과의원,"세종특별자치시 조치원읍 도원2로 39, 2층",044-868-2275,36.602,127.297
382,문치과의원,치과의원,세종특별자치시 조치원읍 대첩로 75,044-862-2875,36.602,127.297
383,플러스치과의원,치과의원,세종특별자치시 조치원읍 허만석로 60-1 (플러스타운 A동 201호),044-867-2870,36.602,127.297
384,부강면보건지소,보건지소,세종특별자치시 부강면 부강5길 38 (부강면사무소),044-301-2232,36.53,127.355
385,대성한의원,한의원,세종특별자치시 조치원읍 도원2로 39,044-862-3375,36.602,127.297
386,경희일구한의원,한의원,세종특별자치시 조치원읍 새내로 88-2,044-863-7719,36.602,127.297
387,서울연합의원,의원,"세종특별자치시 소정면 소정구길 164, 103,201호",044-523-3375,36.625,127.28
388,김승환이비인후과의원,의원,세종특별자치시 조치원읍 새내로 88-1,041-862-8575,36.602,127.297
389,다솜가정의학과의원,의원,세종특별자치시 조치원읍 도원1로 16 (푸르지오 상가 208. 209호),044-865-0075,36.602,127.297
390,이은경소아청소년과의원,의원,세종특별자치시 조치원읍 새내로 77,044-868-3414,36.602,127.297
391,고명철정형외과의원,의원,세종특별자치시 조치원읍 새내로 77,044-865-3414,36.602,127.297
392,연세가정의학과의원,의원,세종특별자치시 조치원읍 대첩로 17,044-863-8275,36.602,127.297
393,제중한의원,한의원,세종특별자치시 조치원읍 조치원로 31-1,044-866-3331,36.602,127.297
394,다인치과의원,치과의원,"세종특별자치시 조치원읍 새내9길 3, 2,3층",044-868-7527,36.602,127.297
395,하나의원,의원,"세종특별자치시 조치원읍 조치원로 42, 1층",044-864-7612,36.602,127.297
396,금빛한의원,한의원,"세종특별자치시 조치원읍 조치원4길 16, 1층",044-862-1358,36.602,127.297
397,서울신통마취통증의학과의원,의원,"세종특별자치시 조치원읍 새내로 97, 3층",044-862-7582,36.602,127.297
398,성모안과의원,의원,"세종특별자치시 조치원읍 새내로 97, 601호",044-868-0021,36.602,127.297
399,대중한의원,한의원,세종특별자치시 전의면 만세길 22,044-863-5253,36.614,127.325
400,홍은표외과의원,의원,"세종특별자치시 조치원읍 새내로 122, 메가박스 210~212호",044-863-7502,36.602,127.297
401,세종영상의학과의원,의원,"세종특별자치시 금남면 용포로 116, 3층",044-866-0009,36.538,127.336
402,보성치과의원,치과의원,세종특별자치시 조치원읍 조치원2길 5,044-865-8879,36.602,127.297
403,굿모닝가정의학과의원,의원,세종특별자치시 조치원읍 으뜸길 208,044-868-7582,36.602,127.297
404,누가치과의원,치과의원,"세종특별자치시 조치원읍 새내로 88-1, 4층",041-864-2872,36.602,127.297
405,신화비뇨기과의원,의원,세종특별자치시 조치원읍 조치원1길 6,044-865-9999,36.602,127.297
406,예림한의원,한의원,세종특별자치시 연서면 당산로 345,044-868-8880,36.567,127.24
407,선비뇨기과의원,의원,세종특별자치시 조치원읍 조치원로 26,044-868-8866,36.602,127.297
408,부영의원,의원,"세종특별자치시 부강면 부강로 37-1, 1~2층",044-275-3782,36.53,127.355
409,세종더튼튼의원,의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 4층 404, 405-1호 (반곡동)",044-862-9680,36.462,127.283
410,문내과의원,의원,세종특별자치시 조치원읍 조치원로 22,044-867-6551,36.602,127.297
411,이편한치과의원,치과의원,"세종특별자치시 조치원읍 새내로 97, 4층 1호",044-864-2875,36.602,127.297
412,연세신경외과의원,의원,세종특별자치시 조치원읍 새내로 75,041-865-2116,36.602,127.297
413,하얀치과의원,치과의원,세종특별자치시 조치원읍 조치원로 30,044-866-6200,36.602,127.297
414,한사랑산부인과의원,의원,"세종특별자치시 조치원읍 새내로 122 (세종시네마 1동 301호, 302호, 303호, 304호,305호)",044-867-8433,36.602,127.297
415,윤치과의원,치과의원,세종특별자치시 조치원읍 조치원로 38,041-8674-1112,36.602,127.297
416,부부내과의원,의원,세종특별자치시 금남면 용포로 113,044-866-0345,36.538,127.336
417,한마음의원,의원,세종특별자치시 부강면 부강4길 10,044-277-6446,36.53,127.355
418,양규준산부인과의원,의원,세종특별자치시 조치원읍 새내로 96,044-862-8811,36.602,127.297
419,제일신경과의원,의원,"세종특별자치시 조치원읍 새내로 88-1, 2층",044-862-8275,36.602,127.297
420,새서울치과의원,치과의원,세종특별자치시 금남면 용포로 113,044-866-2875,36.538,127.336
421,중앙의원,의원,세종특별자치시 전의면 읍내길 20,044-862-4408,36.614,127.325
422,서울치과의원,치과의원,"세종특별자치시 조치원읍 새내로 91, 1.2.3층",044-867-2875,36.602,127.297
423,이안과의원,의원,세종특별자치시 조치원읍 새내로 98,041-866-7863,36.602,127.297
424,소정면보건지소,보건지소,"세종특별자치시 소정면 소정구길 201, 소정면보건지소",044-301-2292,36.625,127.28
425,김내과의원,의원,세종특별자치시 조치원읍 새내로 98,044-862-3575,36.602,127.297
426,백상한의원,한의원,세종특별자치시 조치원읍 새내10길 13,044-865-0945,36.602,127.297
