순번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호
234,세종가톨릭정형외과의원,의원,"세종특별자치시 도움1로 106, 401~402호,405~408호,416호 (종촌동, 메가시티)",044-867-7171
235,상쾌한이비인후과의원,의원,"세종특별자치시 새롬중앙로 59, 403호 (새롬동, 새롬빌딩)",044-862-7584
236,평화당한의원,한의원,"세종특별자치시 새롬중앙로 47, 304호 (새롬동, 세움빌딩)",044-864-7600
237,심치과의원,치과의원,"세종특별자치시 새롬중앙로 47, 405호 (새롬동, 세움빌딩)",044-862-2871
238,더블유성형외과의원,의원,"세종특별자치시 한누리대로 245, 401호 (나성동, 에스알파크원)",044-863-6673
239,소리숨이비인후과의원,의원,"세종특별자치시 나성로 96, 더센트럴 421호 (나성동)",044-868-1177
240,봄뜰부부한의원,한의원,"세종특별자치시 남세종로 466, 303호 (보람동, 아평빌딩)",044-862-6193
241,서울소담치과의원,치과의원,"세종특별자치시 한누리대로 2018, 304~305호 (소담동, 사이언스타운)",044-865-2811
242,세종소담한의원,한의원,"세종특별자치시 한누리대로 2018, 407~408호 (소담동, 사이언스타운)",044-862-3500
243,두미소신경과의원,의원,"세종특별자치시 한누리대로 249, 에스제이타워 408~410,507호 (나성동)",044-867-6119
244,세종국민건강의원,의원,"세종특별자치시 가온로 8, 혜원빌딩 2~3층 (다정동)",1522-3466
245,코알이비인후과의원,의원,"세종특별자치시 한누리대로 2018, 사이언스타운 4층 403~406호 (소담동)",044-865-3650
246,연세고마운치과의원,치과의원,"세종특별자치시 한누리대로 249, 406~407호 (나성동, 에스제이타워)",044-866-2872
247,열린이비인후과의원,의원,"세종특별자치시 다정중앙로 45, 다정프라자 304호~305호 (다정동)",044-867-7550
248,세종보람치과의원,치과의원,"세종특별자치시 남세종로 466, 403호 (보람동, 아평빌딩)",044-863-7522
249,웰에스테의원,의원,"세종특별자치시 도움1로 106, 메가시티 409호 (종촌동)",044-863-8271
250,세종성모소아청소년과의원,의원,"세종특별자치시 한누리대로 2129, 스타힐타워Ⅱ 401~405,409,412~415호 (보람동)",044-865-4003
251,강남 더 뷰티 성형외과의원,의원,"세종특별자치시 한누리대로 169, 스타벅스 행복타워 303호,305호,308호 (나성동)",044-864-8008
252,참좋아치과의원,치과의원,"세종특별자치시 보듬3로 143, 304,305,306호 (아름동, 대영프라자)",044-864-8575
253,일희재한의원,한의원,"세종특별자치시 한누리대로 249, 307호 (나성동, 에스제이타워)",044-867-6262
254,현대정형외과의원,의원,"세종특별자치시 조치원읍 새내로 63, 2층",044-862-5161
255,나은정형외과의원,의원,"세종특별자치시 보듬3로 143, 502,503호 (아름동, 대영프라자)",044-863-7579
256,금강한의원,한의원,"세종특별자치시 조치원읍 조치원로 22, 4층",044-862-5310
257,서울아산신경외과의원,의원,"세종특별자치시 나성북로 9, 701,702호 (나성동, 메가타워1)",044-868-5288
258,장효길한의원,한의원,"세종특별자치시 한누리대로 2143, 407호 (보람동, 금강시티타워)",044-867-8758
259,더플랜트치과의원,치과의원,"세종특별자치시 아름서1길 13-12, 403,404호 (아름동, 제이디빌딩)",044-998-2875
260,경희고운한의원,한의원,"세종특별자치시 마음로 264, 301층 (고운동, 고운프라자)",044-864-9575
261,세종프라임치과의원,치과의원,"세종특별자치시 한누리대로 499, 402호 (어진동, 세종미디어프라자)",044-868-3522
262,수치과의원,치과의원,"세종특별자치시 절재로 194, 508호 (어진동, 중앙타운)",044-864-5369
263,이사랑치과의원,치과의원,"세종특별자치시 한누리대로 2257, 판타지타워 203호 (대평동)",044-868-0037
264,한사랑의원,의원,"세종특별자치시 도움1로 106, 메가시티 501,505,506,507호 (종촌동)",044-867-3569
265,현가한의원,한의원,"세종특별자치시 조치원읍 새내10길 12, 2층",044-865-1075
266,고운마음한의원,한의원,"세종특별자치시 고운서길 19, 304호 (고운동, 스마트큐브1)",044-863-7517
267,세종미소치과의원,치과의원,"세종특별자치시  한누리대로 2135, 302,303,301호 (보람동, 스타힐타워1) (보람동)",044-864-4936
268,서울삼성안과의원,의원,"세종특별자치시 도움1로 106, 메가시티 403,404,414호 (종촌동)",044-862-0014
269,세종항도외과의원,의원,"세종특별자치시 한누리대로 253, 503호 (나성동, 에스빌딩)",044-867-4475
270,삼성온가족치과의원,치과의원,"세종특별자치시 도움1로 106, 510호 (종촌동, 메가시티)",044-865-2843
271,라온소아청소년과의원,의원,"세종특별자치시 새롬중앙로 62-15, 해피라움W 303,304호 (새롬동)",044-866-1350
272,산돌한의원,한의원,"세종특별자치시 도움1로 106, 메가시티 502,508,509,514호 (종촌동)",044-865-7585
273,유소아청소년과의원,의원,"세종특별자치시 도움1로 108, 408.409호 (종촌동, 몰리브)",044-866-8025
274,세종시원마취통증의학과의원,의원,"세종특별자치시 보듬3로 100, 해피라움1 201~203호 (아름동)",044-867-7585
275,세종우리성모안과의원,의원,"세종특별자치시 한누리대로 273, 601~604호 (나성동)",044-864-3370
276,매일연합의원,의원,"세종특별자치시 절재로 154, 1층 (어진동, 홈플러스 세종점)",044-864-7975
277,올마취통증의학과의원,의원,"세종특별자치시 도움3로 105-7, 403.404.405호 (종촌동, 메디케어)",044-863-0648
278,브이유의원,의원,"세종특별자치시 나성북로 21, 센트럴타워 506호 (나성동)",044-866-6222
279,도담민들레치과의원,치과의원,"세종특별자치시 보듬3로 8-27, 403-1호 (도담동, 새한빌딩)",044-865-0102
280,세종함소아한의원,한의원,"세종특별자치시 보듬3로 143, 405,406호 (아름동, 대영프라자)",044-868-8333
281,연세럭스치과의원,치과의원,"세종특별자치시 보듬3로 100, 해피라움1 204,205호 (아름동)",044-864-2804
282,세종금남치과의원,치과의원,"세종특별자치시 금남면 용포로 80, 2층",044-863-5275
283,에이스한의원,한의원,"세종특별자치시 보듬3로 100, 405-2호 (아름동, 해피라움1)",044-867-1076
284,365 열린연합의원,의원,"세종특별자치시 마음로 74, 302.303호 (고운동, 그랜드프라자)",044-864-7757
285,박소영한의원,한의원,"세종특별자치시 도움1로 108, 413호 (종촌동, 몰리브)",044-865-7075
286,세종제이피부과의원,의원,"세종특별자치시 보듬3로 92, 해피라움2 403,404,405호 (아름동)",044-865-1675
287,숨편한한의원,한의원,"세종특별자치시 도움1로 108, 402-2.420호 (종촌동, 몰리브)",044-866-0175
288,화이트부부치과의원,치과의원,"세종특별자치시 도움1로 108, 410.411호 (종촌동, 몰리브)",044-865-2835
289,최훈내과의원,의원,"세종특별자치시 보듬3로 91, 303.304호 (아름동, 해피라움4)",044-865-5575
290,연세크리스마스치과의원,치과의원,"세종특별자치시 마음로 70, 302.303호 (고운동, 에셀프라자)",044-865-2075
291,스마일치과의원,치과의원,"세종특별자치시 마음로 74, 그랜드프라자 202,203호 (고운동)",044-863-8575
292,광제중국한의원,한의원,"세종특별자치시 조치원읍 조치원로 42, 2층",044-865-8338
293,이병진치과의원,치과의원,"세종특별자치시 조치원읍 조치원로 7, 3층",044-862-2812
294,자연치유한의원,한의원,"세종특별자치시 금남면 청룡안길 114-112, 1.2동 2.3층",044-864-0080
295,위대한내과의원,의원,"세종특별자치시 절재로 194, 505호,506호 (어진동, 중앙타운)",044-865-3375
296,세종연합비뇨기과의원,의원,"세종특별자치시 한누리대로 273, 새롬씨티 403,404,407,408호 (나성동)",044-867-2800
297,스마트정신건강의학과의원,의원,"세종특별자치시 절재로 194, 504호 (어진동, 세종드림)",044-862-7392
298,아이닉안과의원,의원,"세종특별자치시 절재로 194, 403,404호 (어진동, 세종드림)",044-868-1288
299,고운맘소아청소년과의원,의원,"세종특별자치시 마음로 70, 304호 (고운동, 에셀프라자)",044-862-5252
300,두리이비인후과의원,의원,"세종특별자치시 절재로 194, 중앙타운 801,802호 (어진동)",044-865-7577
301,삼성마음그린정신건강의학과의원,의원,"세종특별자치시 한누리대로 253, 에스빌딩 301호 (나성동)",044-867-1000
302,제일마취통증의학과의원,의원,"세종특별자치시 절재로 194, 604호 (어진동, 세종드림)",044-862-0008
303,빛을보는치과의원,치과의원,"세종특별자치시 절재로 194, 중앙타운 401,402,405호 (어진동)",044-867-1575
304,행복경희한의원,한의원,"세종특별자치시 고운서길 10, 303호 (고운동, 대현빌딩)",044-867-7599
305,성원치과의원,치과의원,"세종특별자치시 절재로 194, 408.409호 (어진동, 세종드림)",044-868-6091
306,세종다사랑가정의학과의원,의원,"세종특별자치시 도움3로 105-7, 401호 (종촌동, 메디케어)",044-863-7523
307,세종시365으랏차한의원,한의원,"세종특별자치시 절재로 194, 중앙타운 413호, 414호 (어진동)",044-864-5671
308,패밀리치과의원,치과의원,"세종특별자치시 달빛로 47, 301호 (종촌동, 종촌파크프라자)",044-866-2804
309,맑은내과외과의원,의원,"세종특별자치시 달빛로 45, The Riverside 401~404, 503호 (종촌동)",044-863-6777
310,첫마을치과의원,치과의원,"세종특별자치시 한누리대로 165, 세종메디피아 302,303호 (나성동)",044-867-2275
311,세종 정형외과의원,의원,"세종특별자치시 한누리대로 583, 도담센트럴프라자 501,502,506호 (도담동)",044-867-2191
312,세종 쉼 정신건강의학과의원,의원,"세종특별자치시 한누리대로 583, 503호 (도담동, 도담센트럴프라자)",044-864-1181
313,세종내과의원,의원,"세종특별자치시 보듬3로 6, 204.205호 (도담동, 라온프라이빗시티2상가)",044-868-1070
314,건강한 가족의원,의원,"세종특별자치시 보듬3로 8-12, 101-2.102호 (도담동, 라온프라이빗시티1상가)",044-858-7555
315,세종퍼스트피부과의원,의원,"세종특별자치시 달빛로 59, 호만빌딩 601~603호 (종촌동)",044-864-9969
316,세종미즈산부인과의원,의원,"세종특별자치시 도움3로 105-5, 504호 (종촌동, 종촌중앙프라자)",044-868-3582
317,유 앤이 내과의원,의원,"세종특별자치시 도움3로 105-5, 501.502.503.507호 (종촌동, 종촌중앙프라자)",044-862-7511
318,신 치과의원,치과의원,"세종특별자치시 장군면 장척로 407, 2층",044-864-2827
319,율제한의원,한의원,"세종특별자치시 도움3로 105-7, 302호 (종촌동, 메디케어빌딩)",044-417-1585
320,세종연세에스의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 403~405호 (나성동)",044-864-8610
321,웰키즈소아청소년과의원,의원,"세종특별자치시 보듬3로 95, 해피라움3 307,308,309-1,310-2,401~5,410,603~8,705~6호(아름동) (아름동)",044-868-4880
322,서울바른이치과의원,치과의원,"세종특별자치시 다정중앙로 39, 다정센터프라자2 504호 (다정동)",044-863-2282
323,도담도담 소아청소년과의원,의원,"세종특별자치시 보듬3로 6, 212호 (도담동, 라온프라이빗시티2상가)",044-867-3211
324,세종어린이치과의원,치과의원,"세종특별자치시 보듬3로 91, 305호 (아름동, 해피라움4상가)",044-865-7502
325,모드니 치과의원,치과의원,"세종특별자치시 금송로 687, 3층 (가람동, 이마트세종점)",044-864-2876
326,우리치과의원,치과의원,"세종특별자치시 도움3로 105-5, 402.403호 (종촌동, 종촌중앙프라자)",044-865-0231
327,바른명치과의원,치과의원,"세종특별자치시 한누리대로 583, 도담센트럴프라자 302,303,304,504,505호 (도담동)",044-864-2824
328,좋은하루 치과의원,치과의원,"세종특별자치시 보듬4로 9, 3층 8,9호 (도담동, 도램마을11단지)",044-998-7599
329,좋은하루이비인후과의원,의원,"세종특별자치시 보듬4로 9, 3층 6,7호 (도담동, 도램마을11단지)",044-998-7582
330,맘애든치과의원,치과의원,"세종특별자치시 도움3로 105-8, 501.502호 (종촌동, 신목빌딩)",044-862-2874
331,경희한의원,한의원,"세종특별자치시 한누리대로 583, 도담센트럴프라자 403호 (도담동)",044-862-1025
332,씨엘비뇨기과의원,의원,"세종특별자치시 도움3로 105-5, 603.604호 (종촌동, 종촌중앙프라자)",044-865-0052
333,계림한의원,한의원,"세종특별자치시 다정중앙로 58, 다정메디프라자 403호 (다정동)",044-868-2355
334,바른한의원,한의원,"세종특별자치시 달빛로 59, 호만빌딩 203호,301호,302호 (종촌동)",044-868-0380
335,두치과의원,치과의원,"세종특별자치시 달빛로 59, 402.403.404호 (종촌동, 호만빌딩)",044-868-2877
336,정토한의원,한의원,"세종특별자치시 보듬3로 92, 303호 (아름동, 해피라움2상가)",044-863-7588
337,세종서울치과의원,치과의원,"세종특별자치시 도움3로 105-7, 501호 (종촌동, 메디케어빌딩)",044-863-7528
338,우리이비인후과의원,의원,"세종특별자치시 보듬3로 92, 409호 (아름동, 해피라움2상가)",044-865-8575
339,세움소아청소년과의원,의원,"세종특별자치시 보듬3로 92, 310호 (아름동, 해피라움2상가)",044-862-6075
340,세움치과의원,치과의원,"세종특별자치시 보듬3로 92, 310호 (아름동, 해피라움2상가)",044-862-2755
341,세종속편한내과의원,의원,"세종특별자치시 보듬3로 95, 해피라움3 3층 301,302,304-2,305호 (아름동)",044-862-1401
342,세종아이소아청소년과의원,의원,"세종특별자치시 달빛로 59, 303.304호 (종촌동, 호만빌딩)",044-864-0800
343,강남치과의원,치과의원,"세종특별자치시 금남면 용포로 63, 2층",044-867-7528
344,세종베스트치과의원,치과의원,"세종특별자치시 보듬3로 92, 407.408호 (아름동, 해피라움2상가)",044-865-7528
345,아름치과의원,치과의원,"세종특별자치시 보듬3로 92, 206.207호 (아름동, 해피라움2상가)",044-863-2833
346,크로바내과의원,의원,"세종특별자치시 한누리대로 253, 606~607호 (나성동, 에스빌딩)",044-863-7975
347,킹세종 이비인후과의원,의원,"세종특별자치시 한누리대로 492, 청암빌딩 303,304호 (어진동)",044-868-1443
348,세종반석정형외과의원,의원,"세종특별자치시 한누리대로 157, 601-609호 (나성동, 금강프라자)",044-863-7551
349,아름 한의원,한의원,"세종특별자치시 보듬3로 104-19, 303호 (아름동, 세석빌딩)",044-868-9600
350,박승룡한의원,한의원,"세종특별자치시 달빛로 47, 202호 (종촌동, 종촌파크프라자)",044-867-2075
351,지에프정형외과의원,의원,"세종특별자치시 달빛로 43, 3층 (종촌동, 금강빌딩)",044-868-7506
352,서울굿모닝치과의원,치과의원,"세종특별자치시 도움3로 105-5, 505.506호 (종촌동, 종촌중앙프라자)",044-865-2833
353,이삭소아청소년과의원,의원,"세종특별자치시 한누리대로 169, 세종행복타워 301,307,401호 (나성동)",044-865-8275
354,곰돌이 소아청소년과의원,의원,"세종특별자치시 달빛로 47, 302호 (종촌동, 종촌파크프라자)",044-866-0275
355,서울좋은치과의원,치과의원,"세종특별자치시 한누리대로 193, 301호 (나성동, 참미르빌딩)",044-862-7528
356,세종상신한의원,한의원,"세종특별자치시 한누리대로 193, 303호 (나성동, 참미르메디칼)",044-867-8275
357,한사랑메디칼의원,의원,"세종특별자치시 누리로 106, 302호 (한솔동, 송원프라자)",044-866-7580
358,세종프라우메디산부인과의원,의원,"세종특별자치시 한누리대로 165 (나성동, 세종메디피아6,7층)",044-716-1000
359,누리마루치과의원,치과의원,"세종특별자치시 도움8로 81, A동 301호 (어진동)",044-865-2275
360,새봄빛한의원,한의원,"세종특별자치시 부강면 부강로 53, 2층 201호 (세종클리닉)",044-868-1075
361,세종대일당한의원,한의원,"세종특별자치시 한누리대로 157 (나성동, 금강프라자 503호)",044-866-0002
362,세종플란트 치과의원,치과의원,"세종특별자치시 한누리대로 157 (나성동, 금강프라자,304호)",044-868-2875
363,유한의원,한의원,"세종특별자치시 조치원읍 군청로 88, 1층",044-868-9677
364,세종경희한의원,한의원,"세종특별자치시 한누리대로 165, 세종메디피아 310호 (나성동)",044-864-1075
365,임재욱한의원,한의원,세종특별자치시 조치원읍 충현로 47,044-862-3333
366,햇님한의원,한의원,"세종특별자치시 소담1로 16, 지엘플렉스2 302호 (소담동)",044-866-6777
367,세종치과의원,치과의원,"세종특별자치시 전의면 만세길 5, 2층",044-862-7035
368,여러분소통내과의원,의원,"세종특별자치시 조치원읍 새내로 88-1, 3층",044-864-7588
369,한솔퍼스트치과의원,치과의원,"세종특별자치시 새롬중앙로 62-15, 201호 (새롬동, 해피라움W)",044)866-2275
370,세종소아청소년과의원,의원,"세종특별자치시 한누리대로 157, 405호 (나성동, 금강프라자)",044-866-1275
371,최진웅치과의원,치과의원,"세종특별자치시 조치원읍 새내로 122, 메가박스(외 1필지 세종시네마 1동) 204호",044-866-2835
372,마음그린한의원,한의원,세종특별자치시 조치원읍 새내6길 3,044-866-7510
373,세종한의원,한의원,"세종특별자치시 금남면 용포로 64, 1.2층",044-866-2011
374,부강한의원,한의원,세종특별자치시 부강면 부강1길 5,044-275-8155
375,장동석내과의원,의원,"세종특별자치시 조치원읍 새내로 122, 메가박스 3층 306,307,308,309,310,311,312호",044-868-8841
376,둥구나무한의원,한의원,"세종특별자치시 금남면 용포로 80, 3층",044-866-7555
377,부강부부치과의원,치과의원,"세종특별자치시 부강면 부촌길 39, 1층",044-275-2855
378,행복한의원,한의원,세종특별자치시 장군면 장척로 405-2,044-856-0075
379,서울연합외과의원,의원,"세종특별자치시 조치원읍 조치원로 22, 3층",044-865-3838
380,원한의원,한의원,세종특별자치시 전의면 장터길 2-1,044-866-1122
381,부부치과의원,치과의원,"세종특별자치시 조치원읍 도원2로 39, 2층",044-868-2275
382,문치과의원,치과의원,세종특별자치시 조치원읍 대첩로 75,044-862-2875
383,플러스치과의원,치과의원,세종특별자치시 조치원읍 허만석로 60-1 (플러스타운 A동 201호),044-867-2870
384,부강면보건지소,보건지소,세종특별자치시 부강면 부강5길 38 (부강면사무소),044-301-2232
385,대성한의원,한의원,세종특별자치시 조치원읍 도원2로 39,044-862-3375
386,경희일구한의원,한의원,세종특별자치시 조치원읍 새내로 88-2,044-863-7719
387,서울연합의원,의원,"세종특별자치시 소정면 소정구길 164, 103,201호",044-523-3375
388,김승환이비인후과의원,의원,세종특별자치시 조치원읍 새내로 88-1,041-862-8575
389,다솜가정의학과의원,의원,세종특별자치시 조치원읍 도원1로 16 (푸르지오 상가 208. 209호),044-865-0075
390,이은경소아청소년과의원,의원,세종특별자치시 조치원읍 새내로 77,044-868-3414
391,고명철정형외과의원,의원,세종특별자치시 조치원읍 새내로 77,044-865-3414
392,연세가정의학과의원,의원,세종특별자치시 조치원읍 대첩로 17,044-863-8275
393,제중한의원,한의원,세종특별자치시 조치원읍 조치원로 31-1,044-866-3331
394,다인치과의원,치과의원,"세종특별자치시 조치원읍 새내9길 3, 2,3층",044-868-7527
395,하나의원,의원,"세종특별자치시 조치원읍 조치원로 42, 1층",044-864-7612
396,금빛한의원,한의원,"세종특별자치시 조치원읍 조치원4길 16, 1층",044-862-1358
397,서울신통마취통증의학과의원,의원,"세종특별자치시 조치원읍 새내로 97, 3층",044-862-7582
398,성모안과의원,의원,"세종특별자치시 조치원읍 새내로 97, 601호",044-868-0021
399,대중한의원,한의원,세종특별자치시 전의면 만세길 22,044-863-5253
400,홍은표외과의원,의원,"세종특별자치시 조치원읍 새내로 122, 메가박스 210~212호",044-863-7502
401,세종영상의학과의원,의원,"세종특별자치시 금남면 용포로 116, 3층",044-866-0009
402,보성치과의원,치과의원,세종특별자치시 조치원읍 조치원2길 5,044-865-8879
403,굿모닝가정의학과의원,의원,세종특별자치시 조치원읍 으뜸길 208,044-868-7582
404,누가치과의원,치과의원,"세종특별자치시 조치원읍 새내로 88-1, 4층",041-864-2872
405,신화비뇨기과의원,의원,세종특별자치시 조치원읍 조치원1길 6,044-865-9999
406,예림한의원,한의원,세종특별자치시 연서면 당산로 345,044-868-8880
407,선비뇨기과의원,의원,세종특별자치시 조치원읍 조치원로 26,044-868-8866
408,부영의원,의원,"세종특별자치시 부강면 부강로 37-1, 1~2층",044-275-3782
409,세종더튼튼의원,의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 4층 404, 405-1호 (반곡동)",044-862-9680
410,문내과의원,의원,세종특별자치시 조치원읍 조치원로 22,044-867-6551
411,이편한치과의원,치과의원,"세종특별자치시 조치원읍 새내로 97, 4층 1호",044-864-2875
412,연세신경외과의원,의원,세종특별자치시 조치원읍 새내로 75,041-865-2116
413,하얀치과의원,치과의원,세종특별자치시 조치원읍 조치원로 30,044-866-6200
414,한사랑산부인과의원,의원,"세종특별자치시 조치원읍 새내로 122 (세종시네마 1동 301호, 302호, 303호, 304호,305호)",044-867-8433
415,윤치과의원,치과의원,세종특별자치시 조치원읍 조치원로 38,041-8674-1112
416,부부내과의원,의원,세종특별자치시 금남면 용포로 113,044-866-0345
417,한마음의원,의원,세종특별자치시 부강면 부강4길 10,044-277-6446
418,양규준산부인과의원,의원,세종특별자치시 조치원읍 새내로 96,044-862-8811
419,제일신경과의원,의원,"세종특별자치시 조치원읍 새내로 88-1, 2층",044-862-8275
420,새서울치과의원,치과의원,세종특별자치시 금남면 용포로 113,044-866-2875
421,중앙의원,의원,세종특별자치시 전의면 읍내길 20,044-862-4408
422,서울치과의원,치과의원,"세종특별자치시 조치원읍 새내로 91, 1.2.3층",044-867-2875
423,이안과의원,의원,세종특별자치시 조치원읍 새내로 98,041-866-7863
424,소정면보건지소,보건지소,"세종특별자치시 소정면 소정구길 201, 소정면보건지소",044-301-2292
425,김내과의원,의원,세종특별자치시 조치원읍 새내로 98,044-862-3575
426,백상한의원,한의원,세종특별자치시 조치원읍 새내10길 13,044-865-0945
427,김진용치과의원,치과의원,세종특별자치시 조치원읍 조치원로 22,041-866-9281
428,우리들의원,의원,세종특별자치시 장군면 장척로 401,044-857-2345
429,정비뇨기과의원,의원,"세종특별자치시 조치원읍 새내로 97, 4층 402호",044-867-5350
430,유경의원,의원,세종특별자치시 부강면 부강2길 14,044-275-2160
431,장현진정형외과의원,의원,세종특별자치시 조치원읍 조치원로 62,044-863-1150
432,백내과의원,의원,"세종특별자치시 조치원읍 조치원2길 5, 2~4층",044-862-3838
433,성가정신건강의학과의원,의원,"세종특별자치시 조치원읍 새내로 97, 5층 1호",044-867-5357
434,중앙외과의원,의원,세종특별자치시 조치원읍 새내4길 3,044-867-0001
435,부강제일의원,의원,세종특별자치시 부강면 부강5길 11-1,044-275-3330
436,태화당한의원,한의원,세종특별자치시 조치원읍 새내로 98,044-865-1991
437,송태영치과의원,치과의원,세종특별자치시 조치원읍 조치원로 31-1,044-865-2821
438,박성섭한의원,한의원,세종특별자치시 조치원읍 조치원4길 6,044-865-1985
439,누가연합의원,의원,세종특별자치시 전의면 읍내길 7,044-863-0494
440,부강수플란트치과의원,치과의원,세종특별자치시 부강면 부촌길 29,044-275-5585
441,서울외과의원,의원,세종특별자치시 조치원읍 새내로 68-1,044-863-4912
442,박종석치과의원,치과의원,세종특별자치시 조치원읍 장안로 1,044-862-4500
443,전의면보건지소,보건지소,세종특별자치시 전의면 만세길 20-12,044-301-2273
444,쌍류보건진료소,보건진료소,세종특별자치시 연서면 도신고복로 427,044-863-0176
445,연기면보건지소,보건지소,"세종특별자치시 연기면 당산로 154, 지1층",044-301-2212
446,와촌보건진료소,보건진료소,세종특별자치시 연서면 용연로 635,041-863-4700
447,금남면보건지소,보건지소,"세종특별자치시 금남면 용포로 57, 금남면보건지소",044-301-2243
448,연동면보건지소,보건지소,"세종특별자치시 연동면 장욱진로 7, 연동면 복합커뮤니티센터",044-301-2223
449,전동면보건지소,보건지소,세종특별자치시 전동면 운주산로 386,044-301-2282
450,연서면보건지소,보건지소,세종특별자치시 연서면 대첩로 238,044-301-2262
451,장군면보건지소,보건지소,세종특별자치시 장군면 장척로 398-3,044-301-2252
452,성심외과의원,의원,세종특별자치시 조치원읍 새내로 113,044-865-3616
453,이내과의원,의원,세종특별자치시 조치원읍 조치원로 31,044-865-3571
454,송곡보건진료소,보건진료소,세종특별자치시 전동면 금이로 184,044-867-1665
455,세종특별자치시보건소,보건소,"세종특별자치시 조치원읍 대첩로 32, 세종특별자치시보건소",044-301-2000
456,응암보건진료소,보건진료소,세종특별자치시 연동면 송암로 246 (응암보건진료소),041-864-9202
457,이종선치과의원,치과의원,세종특별자치시 조치원읍 조치원로 31,044-865-6352
458,황용보건진료소,보건진료소,세종특별자치시 금남면 금남구즉로 487,044-867-8865
459,양곡보건진료소,보건진료소,세종특별자치시 전의면 양지편길 17 (양곡보건진료소),044-867-3471
460,송학보건진료소,보건진료소,세종특별자치시 장군면 황미창말길 5-4 (송학보건진료소),044-852-0564
461,전의의원,의원,세종특별자치시 전의면 읍내길 13,044-863-2828
